YearMonth;TotalClientes;202202;202203;202204;202205;202206;202207;202208;202209;202210;202211;202212;202301;202302;202303;202304;202305;202306;202307;202308;202309;202310;202311;202312;202401;202402;202403;202404;202405;202406;202407;202408;202409;202410;202411;202412
202202;138;1.0;0.31;0.3;0.2;0.25;0.22;0.22;0.22;0.23;0.27;0.2;0.16;0.21;0.22;0.23;0.27;0.25;0.19;0.22;0.17;0.17;0.22;0.19;0.17;0.14;0.02;0.02;0.04;0.03;0.02;0.05;0.05;0.02;0.03;0.02
202203;146;;1.0;0.27;0.16;0.16;0.15;0.18;0.21;0.18;0.23;0.16;0.13;0.1;0.18;0.16;0.19;0.18;0.18;0.13;0.17;0.12;0.12;0.17;0.12;0.08;0.01;0.01;0.03;0.01;0.01;0.03;0.02;0.0;0.02;0.02
202204;121;;;1.0;0.11;0.17;0.16;0.14;0.14;0.12;0.17;0.18;0.17;0.11;0.2;0.16;0.14;0.17;0.16;0.08;0.09;0.11;0.12;0.17;0.07;0.1;0.02;0.01;0.01;0.02;0.01;0.02;0.0;0.0;0.02;0.01
202205;100;;;;1.0;0.12;0.14;0.15;0.12;0.13;0.14;0.12;0.09;0.12;0.11;0.16;0.12;0.04;0.1;0.09;0.1;0.11;0.13;0.1;0.1;0.03;0.0;0.01;0.0;0.01;0.01;0.03;0.0;0.01;0.0;0.0
202206;88;;;;;1.0;0.1;0.12;0.15;0.18;0.15;0.12;0.11;0.1;0.18;0.1;0.1;0.1;0.09;0.11;0.1;0.12;0.09;0.14;0.1;0.05;0.01;0.02;0.03;0.01;0.0;0.03;0.01;0.01;0.01;0.02
202207;105;;;;;;1.0;0.1;0.1;0.12;0.12;0.09;0.1;0.11;0.12;0.1;0.14;0.14;0.13;0.12;0.1;0.1;0.06;0.11;0.13;0.06;0.04;0.03;0.03;0.02;0.0;0.02;0.0;0.01;0.02;0.0
202208;84;;;;;;;1.0;0.04;0.11;0.06;0.11;0.14;0.07;0.15;0.08;0.08;0.11;0.11;0.1;0.11;0.08;0.08;0.12;0.08;0.06;0.01;0.02;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202209;87;;;;;;;;1.0;0.09;0.1;0.06;0.09;0.1;0.1;0.1;0.11;0.13;0.1;0.09;0.11;0.11;0.11;0.06;0.08;0.1;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.0;0.0;0.0
202210;69;;;;;;;;;1.0;0.13;0.06;0.14;0.12;0.1;0.13;0.16;0.1;0.09;0.06;0.07;0.06;0.04;0.07;0.09;0.06;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.01;0.0
202211;73;;;;;;;;;;1.0;0.16;0.1;0.04;0.08;0.12;0.1;0.08;0.08;0.04;0.1;0.08;0.1;0.1;0.1;0.04;0.0;0.01;0.05;0.01;0.01;0.04;0.0;0.0;0.0;0.0
202212;72;;;;;;;;;;;1.0;0.12;0.1;0.1;0.1;0.1;0.12;0.06;0.08;0.06;0.08;0.07;0.1;0.03;0.06;0.01;0.01;0.03;0.0;0.01;0.01;0.01;0.0;0.01;0.0
202301;155;;;;;;;;;;;;1.0;0.16;0.13;0.21;0.23;0.22;0.27;0.21;0.24;0.25;0.25;0.25;0.19;0.14;0.01;0.02;0.04;0.05;0.02;0.05;0.03;0.01;0.04;0.03
202302;117;;;;;;;;;;;;;1.0;0.1;0.18;0.15;0.15;0.21;0.18;0.21;0.19;0.18;0.18;0.15;0.09;0.04;0.05;0.04;0.02;0.02;0.03;0.0;0.01;0.02;0.03
202303;161;;;;;;;;;;;;;;1.0;0.21;0.13;0.17;0.16;0.16;0.16;0.11;0.13;0.15;0.09;0.06;0.01;0.01;0.0;0.01;0.02;0.01;0.01;0.01;0.0;0.01
202304;156;;;;;;;;;;;;;;;1.0;0.11;0.08;0.09;0.13;0.12;0.07;0.12;0.11;0.09;0.11;0.01;0.01;0.02;0.01;0.0;0.01;0.01;0.01;0.01;0.0
202305;163;;;;;;;;;;;;;;;;1.0;0.1;0.15;0.12;0.11;0.08;0.09;0.12;0.04;0.06;0.01;0.02;0.02;0.0;0.01;0.02;0.0;0.0;0.0;0.0
202306;145;;;;;;;;;;;;;;;;;1.0;0.1;0.05;0.06;0.04;0.07;0.06;0.06;0.03;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.01;0.0;0.01
202307;115;;;;;;;;;;;;;;;;;;1.0;0.09;0.04;0.06;0.12;0.03;0.05;0.06;0.0;0.0;0.01;0.01;0.01;0.02;0.01;0.0;0.0;0.0
202308;114;;;;;;;;;;;;;;;;;;;1.0;0.11;0.06;0.06;0.06;0.06;0.05;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202309;98;;;;;;;;;;;;;;;;;;;;1.0;0.07;0.1;0.03;0.08;0.03;0.0;0.03;0.01;0.01;0.0;0.01;0.0;0.0;0.01;0.01
202310;87;;;;;;;;;;;;;;;;;;;;;1.0;0.07;0.02;0.1;0.02;0.0;0.0;0.01;0.01;0.0;0.0;0.0;0.01;0.0;0.0
202311;103;;;;;;;;;;;;;;;;;;;;;;1.0;0.09;0.03;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0
202312;106;;;;;;;;;;;;;;;;;;;;;;;1.0;0.08;0.05;0.01;0.01;0.02;0.0;0.0;0.01;0.0;0.01;0.0;0.02
202401;110;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.11;0.0;0.01;0.04;0.0;0.01;0.02;0.01;0.0;0.02;0.02
202402;108;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.01;0.03;0.02;0.03;0.01;0.0;0.0;0.0
202403;2;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202404;11;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0
202405;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202406;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0
202407;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0;0.0;0.0
202408;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0;0.0
202409;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;0.0
202410;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0
202411;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0
202412;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0
